outcome,variable,distribution,bic,param1_name,param1_value,param2_name,param2_value
0,hormone1,normal,3716.61794584829,mean,1.8237791286727458,sd,1.579109634554648
0,hormone1,lognormal,2634.003907719909,meanlog,0.4046437680721328,sdlog,0.608828111389655
0,hormone1,exponential,3167.092574599282,rate,0.5483120100884965,,
0,hormone2,normal,13755.405852669355,mean,375.1479229989868,sd,255.28145740669467
0,hormone2,lognormal,13004.177454554483,meanlog,5.767545970934954,sdlog,0.5456700562554092
0,hormone2,exponential,13681.42515843512,rate,0.002665615184554016,,
0,hormone3,normal,7649.051417913125,mean,8.990881458966568,sd,11.576479225546265
0,hormone3,exponential,6316.21497184504,rate,0.11122379986477346,,
0,hormone4,normal,7533.149115723045,mean,7.507700101317123,sd,10.916342167658922
0,hormone4,lognormal,5432.539235492036,meanlog,1.7024457955715406,sdlog,0.6863801903175423
0,hormone4,exponential,5960.338859598823,rate,0.1331965830420642,,
0,hormone5,normal,14274.625815133586,mean,335.60763829787237,sd,332.08669154948313
0,hormone5,exponential,13461.565627861128,rate,0.002979669965414907,,
0,hormone6,normal,10687.612059383238,mean,78.88975683890578,sd,53.96126593979585
0,hormone6,lognormal,10253.874333903539,meanlog,4.152517108361467,sdlog,0.6811478371145154
0,hormone6,exponential,10603.428123417925,rate,0.01267591687526705,,
0,hormone7,normal,5499.758059081769,mean,5.625227963525837,sd,3.8968724403449966
0,hormone7,exponential,5390.508819949018,rate,0.17777057329659046,,
0,hormone8,normal,11634.695188970947,mean,180.02036474164132,sd,87.18612310148774
0,hormone8,lognormal,11453.696051592673,meanlog,5.0770730291172805,sdlog,0.496228184542726
0,hormone8,exponential,12232.014814397313,rate,0.0055549270852504025,,
0,hormone10_generated,normal,6990.854112150066,mean,0.7617216558948637,sd,8.294080777752708
0,hormone10_generated,lognormal,216.56710791713735,meanlog,-0.8698273062766527,sdlog,0.6399361155196484
0,hormone10_generated,exponential,1443.623053876142,rate,1.3128155045365082,,
0,lipids1,normal,940.8703952663448,mean,0.9573049645390073,sd,0.3870146975179464
0,lipids1,lognormal,818.4602047392665,meanlog,-0.1253629826668782,sdlog,0.4123260466149806
