outcome,variable,n_non_missing,n_missing,mean,sd,median,p25,p75,min,max,selected_distribution,selected_bic,param1_name,param1_value,param2_name,param2_value
0,antioxidant1,987,0,1.6210942249240121,0.1891563908512752,1.63,1.48,1.76,1.07,2.43,normal,-473.29407515278444,mean,1.6210942249240121,sd,0.18906054266125938
0,antioxidant2,987,0,2.3464640324214794,0.4659387778441885,2.31,2.01,2.62,1.18,3.82,lognormal,1263.791794642841,meanlog,0.8333858601835419,sdlog,0.1980786442966346
0,antioxidant3,987,0,1.976301925025329,0.36930778132775877,1.96,1.7349999999999999,2.18,0.94,3.59,normal,847.422971021453,mean,1.976301925025329,sd,0.3691206479074195
0,antioxidant4,987,0,7.732228976697062,3.1463981300770887,7.16,5.365,9.58,0.0,25.0,normal,5076.48747631279,mean,7.732228976697062,sd,3.1448038061185914
0,antioxidant5,987,0,0.6803546099290781,0.29075403106169584,0.6,0.47,0.83,0.23,2.04,lognormal,72.30235450910516,meanlog,-0.46650473307863455,sdlog,0.3974079480874942
0,hormone1,987,0,1.8237791286727458,1.5799101971584473,1.5,1.1,2.1,0.05,26.1,lognormal,2634.003907719909,meanlog,0.4046437680721328,sdlog,0.608828111389655
0,hormone10_generated,987,0,0.7617216558948637,8.298285635197853,0.427,0.285985559566786,0.641,0.077,261.0,lognormal,216.56710791713735,meanlog,-0.8698273062766527,sdlog,0.6399361155196484
0,hormone2,987,0,375.1479229989868,255.41087767224886,312.0,223.0,449.5,31.0,2798.0,lognormal,13004.177454554483,meanlog,5.767545970934954,sdlog,0.5456700562554092
0,hormone3,987,0,8.990881458966568,11.582348163426722,5.6,3.4,9.4,0.0,118.4,exponential,6316.21497184504,rate,0.11122379986477346,,
0,hormone4,987,0,7.507700101317123,10.921876435273072,5.5,3.8,7.3,0.1,131.4,lognormal,5432.539235492036,meanlog,1.7024457955715406,sdlog,0.6863801903175423
0,hormone5,987,0,335.60763829787237,332.25504983231315,274.898,185.822,383.0405,0.0,5686.811,exponential,13461.565627861128,rate,0.002979669965414907,,
0,hormone6,987,0,78.88975683890578,53.98862273036932,64.5,40.849999999999994,101.25,0.76,375.2,lognormal,10253.874333903539,meanlog,4.152517108361467,sdlog,0.6811478371145154
0,hormone7,987,0,5.625227963525837,3.8988480412021196,5.1,2.7,7.6,0.0,47.1,exponential,5390.508819949018,rate,0.17777057329659046,,
0,hormone8,987,0,180.02036474164132,87.23032392719229,166.0,119.0,221.0,16.3,558.0,lognormal,11453.696051592673,meanlog,5.0770730291172805,sdlog,0.496228184542726
0,lipid_pero1,987,0,2.0682168186423504,0.8033658034790907,1.97,1.5,2.52,0.5,5.02,lognormal,2313.0519075730635,meanlog,0.6487170842191867,sdlog,0.40539949919759366
0,lipid_pero2,987,0,1.3839007092198583,0.5697332943075194,1.3,0.98,1.68,0.12,3.7,lognormal,1645.8818186258038,meanlog,0.2373305836426456,sdlog,0.4362784694191886
0,lipid_pero3,987,0,0.6816109422492401,0.3738841933843975,0.59,0.39,0.88,0.07,1.93,lognormal,624.688151958503,meanlog,-0.5334121757171374,sdlog,0.5621121980196021
0,lipid_pero4,987,0,1.4318844984802432,0.8026480608378502,1.32,0.93,1.8,0.23,12.4,lognormal,1928.5948099052014,meanlog,0.23587135783745672,sdlog,0.5041925761300442
0,lipid_pero5,987,0,11.879169199594733,3.608672942288528,11.66,9.235,14.395,4.04,27.8,lognormal,5340.83563973289,meanlog,2.4264532482489916,sdlog,0.31765583364443106
0,lipids1,987,0,0.9573049645390073,0.3872109027003947,0.91,0.685,1.18,0.2,2.73,lognormal,818.4602047392665,meanlog,-0.1253629826668782,sdlog,0.4123260466149806
0,lipids2,987,0,4.461408308004053,0.9106923688721577,4.33,3.81,5.0,2.43,8.82,lognormal,2539.4473790522925,meanlog,1.4754832828784505,sdlog,0.1988986679436111
0,lipids3,987,0,1.1042451874366768,0.2767401382567286,1.06,0.91,1.27,0.41,2.01,lognormal,223.63444126796665,meanlog,0.06796746157380783,sdlog,0.2514272776913787
0,lipids4,987,0,2.9279533941236067,0.8745130582807668,2.81,2.29,3.4050000000000002,0.82,7.01,lognormal,2458.5744908407332,meanlog,1.030704089747264,sdlog,0.297854657257944
0,сarb_metabolism,987,0,4.895065856129686,0.8065695461510104,4.8,4.3,5.38,3.13,11.5,lognormal,2272.4839293911778,meanlog,1.575578271087108,sdlog,0.15719084772572825
1,antioxidant1,160,0,1.6220625000000002,0.16395695429482465,1.62,1.49,1.7425,1.18,2.01,normal,-115.40089484133657,mean,1.6220625000000002,sd,0.1634437857299873
1,antioxidant2,160,0,2.3005,0.44819385967353076,2.275,2.0,2.5725,1.54,3.76,lognormal,195.49228325680411,meanlog,0.8147436157349236,sdlog,0.19118980515464779
1,antioxidant3,160,0,1.9477499999999999,0.35652577596972934,1.895,1.72,2.18,0.97,3.1,lognormal,132.70663218041884,meanlog,0.6498566516304785,sdlog,0.18529487653959406
1,antioxidant4,160,0,8.5661875,3.1165480161469814,8.32,6.3175,10.42,3.26,19.29,lognormal,813.4126490376503,meanlog,2.0810799301861724,sdlog,0.3716421791976645
1,antioxidant5,160,0,0.763625,0.28748418058747216,0.71,0.58,0.8825000000000001,0.26,1.98,lognormal,27.01912719076014,meanlog,-0.3339580623520135,sdlog,0.3561990644062484
1,hormone1,160,0,1.658125,0.8624575005480399,1.5,1.1,2.0,0.3,5.5,lognormal,367.17626517008586,meanlog,0.38256801391604467,sdlog,0.5036868392067562
1,hormone10_generated,160,0,0.5082525045126352,0.36564639137397975,0.4555,0.29274999999999995,0.617,0.077,2.971,lognormal,38.962453865640086,meanlog,-0.8719742712115918,sdlog,0.6332269248488073
1,hormone2,160,0,411.95625,270.8856972359027,365.5,255.75,490.75,77.0,2630.0,lognormal,2130.944016856427,meanlog,5.881462815190239,sdlog,0.5102159905362468
1,hormone3,160,0,9.910625,11.790373415091466,6.05,3.9,10.575,0.1,91.2,lognormal,1030.0561851157738,meanlog,1.8720294657428294,sdlog,0.9014395830734678
