record_id,LOF_score,is_outlier
2020,9.40713490702423,True
1096,2.750931271028271,True
181,2.7058093211946006,True
1843,2.516041257033648,True
1504,2.2705464130602646,True
1120,1.9341719701317044,True
2619,1.8137324786555709,True
1437,1.747091760597981,True
362,1.7090200559205346,True
1271,1.67148595532347,True
308,1.663752167711089,True
293,1.6200995559945528,True
1531,1.5846735810873946,True
2086,1.5622808826159464,True
710,1.5463508766606613,True
1163,1.5231644945572493,True
2416,1.5180424942081148,True
1651,1.515697720630333,True
1786,1.5135262215206886,True
1007,1.5068902963854036,True
186,1.4987236428888697,True
2242,1.4934609884278622,True
444,1.4707008404818496,True
104,1.4696106719765125,True
2299,1.4441940329816674,True
1503,1.4433551849496211,True
302,1.442734051019689,True
107,1.442687108997157,True
880,1.4307253338375403,True
1548,1.4300753372015667,True
2133,1.4253627032012937,True
681,1.4218446411782601,True
14,1.4208718309062296,True
1558,1.4106316196543245,True
2605,1.4087548140759991,True
850,1.407712737030454,True
847,1.4048535377962676,True
1877,1.4026873928856587,True
1909,1.4005952578562024,True
1031,1.3989808642694816,True
1118,1.3988142177349403,True
1217,1.3986838192052722,True
2358,1.3982103170153812,True
358,1.3974278444636494,True
2694,1.397315019367992,True
534,1.3969893717233393,True
849,1.3961222749054931,True
2010,1.3916247145417855,True
881,1.3898954227216194,True
614,1.3889257586627803,True
585,1.3887353079125397,True
750,1.3879288784554313,True
724,1.3862058989610837,True
1538,1.384061498698465,True
1214,1.3838022407308876,True
944,1.3813553491717019,True
2121,1.3801582961892935,True
1552,1.3757761512282367,True
199,1.3754465011932344,False
721,1.3745724312085987,False
871,1.3719814304558076,False
696,1.3706780091809072,False
1235,1.366005122478167,False
1723,1.3645737469715775,False
1089,1.3638731740588466,False
1009,1.3579020199449086,False
2201,1.3550689965797031,False
2233,1.3464422256907005,False
1145,1.3462041421058206,False
1110,1.3456295202292305,False
2300,1.3422356157136228,False
2429,1.3412760667176333,False
2003,1.341196714009104,False
2678,1.3404817408573715,False
410,1.33921127840585,False
1680,1.337909113295773,False
2290,1.3375085930290251,False
514,1.3360039727898632,False
591,1.3311178572258646,False
2497,1.3304547771530637,False
757,1.3302563582496925,False
751,1.330239334313891,False
306,1.3301757559729033,False
2318,1.3291028876127036,False
1727,1.3284943342018063,False
2606,1.3276898715143113,False
712,1.3258177632166048,False
2022,1.3250978970111178,False
2526,1.3236309364384393,False
2212,1.321849390326347,False
67,1.320253983695961,False
2467,1.3202149907509875,False
1425,1.3198153802954882,False
1920,1.3195047224643945,False
1486,1.3190733426920602,False
352,1.315730797791478,False
165,1.315300012451895,False
1537,1.313288578580289,False
1595,1.31285432023245,False
1392,1.3105349435903495,False
